Date_time,PM25,PM10,NO2,O3,Pollution_peak,ATMO,sin_Month,cos_Month,sin_day,cos_day,confinement
2018-03-17,25.93,32.15,75.8,48.5,0,2,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0
2018-03-18,31.13,35.23,59.2,46.0,0,2,0.8660254037844386,0.5000000000000001,-0.9749279121818235,-0.2225209339563146,0
2018-03-19,37.82,49.92,73.4,45.5,0,2,0.8660254037844386,0.5000000000000001,-0.7818314824680297,0.6234898018587336,0
2018-03-20,19.8,31.03,67.4,80.0,0,1,0.8660254037844386,0.5000000000000001,0.0,1.0,0
2018-03-21,19.2,36.31,73.0,75.0,0,1,0.8660254037844386,0.5000000000000001,0.7818314824680297,0.6234898018587336,0
2018-03-22,20.39,41.8,72.2,73.0,0,2,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0
2018-03-23,15.65,29.24,65.4,80.0,0,1,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0
2018-03-24,22.01,34.99,107.0,70.0,0,2,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0
2018-03-25,42.94,54.3,95.0,86.0,0,2,0.8660254037844386,0.5000000000000001,-0.9749279121818235,-0.2225209339563146,0
2018-03-26,26.48,48.36,82.8,81.0,0,2,0.8660254037844386,0.5000000000000001,-0.7818314824680297,0.6234898018587336,0
2018-03-27,14.78,23.49,79.8,75.0,0,1,0.8660254037844386,0.5000000000000001,0.0,1.0,0
2018-03-28,9.57,17.15,79.0,82.0,0,1,0.8660254037844386,0.5000000000000001,0.7818314824680297,0.6234898018587336,0
2018-03-29,9.95,21.07,88.75,86.5,0,1,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0
2018-03-30,11.51,19.48,72.0,79.0,0,1,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0
2018-03-31,11.26,17.46,53.2,81.5,0,1,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0
2018-04-01,14.47,19.93,49.8,82.0,0,1,1.0,6.123233995736766e-17,-0.9749279121818235,-0.2225209339563146,0
2018-04-02,11.51,15.96,47.2,79.0,0,1,1.0,6.123233995736766e-17,-0.7818314824680297,0.6234898018587336,0
2018-04-03,11.37,20.39,64.0,76.0,0,1,1.0,6.123233995736766e-17,0.0,1.0,0
2018-04-04,9.48,16.23,74.2,94.0,0,1,1.0,6.123233995736766e-17,0.7818314824680297,0.6234898018587336,0
2018-04-05,11.34,20.75,67.5,85.0,0,1,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0
2018-04-06,13.35,26.18,64.4,80.0,0,1,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0
2018-04-07,13.76,25.33,59.8,86.0,0,1,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0
2018-04-08,16.9,28.68,50.2,107.5,0,2,1.0,6.123233995736766e-17,-0.9749279121818235,-0.2225209339563146,0
2018-04-09,22.74,38.38,81.8,85.0,0,2,1.0,6.123233995736766e-17,-0.7818314824680297,0.6234898018587336,0
2018-04-10,10.83,20.55,52.8,104.0,0,2,1.0,6.123233995736766e-17,0.0,1.0,0
2018-04-11,10.65,27.84,74.8,104.5,0,2,1.0,6.123233995736766e-17,0.7818314824680297,0.6234898018587336,0
2018-04-12,29.09,47.29,81.2,70.5,0,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0
2018-04-13,17.5,30.16,82.2,95.0,0,1,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0
2018-04-14,16.8,27.42,84.0,77.5,0,1,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0
2018-04-15,12.78,19.67,48.4,87.0,0,1,1.0,6.123233995736766e-17,-0.9749279121818235,-0.2225209339563146,0
2018-04-16,14.45,33.98,59.8,89.5,0,1,1.0,6.123233995736766e-17,-0.7818314824680297,0.6234898018587336,0
2018-04-17,16.85,38.78,84.25,104.5,0,2,1.0,6.123233995736766e-17,0.0,1.0,0
2018-04-18,19.57,55.37,92.0,134.0,0,2,1.0,6.123233995736766e-17,0.7818314824680297,0.6234898018587336,0
2018-04-19,24.92,55.61,113.6,118.0,0,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0
2018-04-20,24.32,65.31,113.4,118.5,0,2,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0
2018-04-21,22.18,47.27,65.6,121.0,0,2,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0
2018-04-22,20.17,43.12,71.6,108.0,0,2,1.0,6.123233995736766e-17,-0.9749279121818235,-0.2225209339563146,0
2018-04-23,15.44,34.56,49.0,87.0,0,1,1.0,6.123233995736766e-17,-0.7818314824680297,0.6234898018587336,0
2018-04-24,12.79,32.01,73.0,99.5,0,1,1.0,6.123233995736766e-17,0.0,1.0,0
2018-04-25,10.82,26.13,44.25,88.0,0,1,1.0,6.123233995736766e-17,0.7818314824680297,0.6234898018587336,0
2018-04-26,10.68,27.6,63.8,93.5,0,1,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0
2018-04-27,9.98,32.35,64.4,96.0,0,1,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0
2018-04-28,8.96,18.48,51.0,88.0,0,1,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0
2018-04-29,15.06,20.61,45.6,67.0,0,1,1.0,6.123233995736766e-17,-0.9749279121818235,-0.2225209339563146,0
2018-04-30,7.1,10.17,33.6,70.5,0,1,1.0,6.123233995736766e-17,-0.7818314824680297,0.6234898018587336,0
