Date_time,PM25,PM10,NO2,Pollution_peak,ATMO,sin_Month,cos_Month,sin_day,cos_day,confinement
2018-03-13,10.78,21.87,112.67,0,2,0.8660254037844386,0.5000000000000001,0.0,1.0,0
2018-03-14,17.25,37.82,101.33,0,2,0.8660254037844386,0.5000000000000001,0.7818314824680297,0.6234898018587336,0
2018-03-15,13.1,25.92,105.0,0,2,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0
2018-03-16,15.1,35.15,114.67,0,2,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0
2018-03-17,23.85,34.18,105.0,0,2,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0
2018-03-18,27.45,33.59,70.0,0,2,0.8660254037844386,0.5000000000000001,-0.9749279121818235,-0.2225209339563146,0
2018-03-19,31.55,43.11,75.0,0,2,0.8660254037844386,0.5000000000000001,-0.7818314824680297,0.6234898018587336,0
2018-03-20,18.95,36.1,84.67,0,1,0.8660254037844386,0.5000000000000001,0.0,1.0,0
2018-03-21,14.75,30.72,68.0,0,1,0.8660254037844386,0.5000000000000001,0.7818314824680297,0.6234898018587336,0
2018-03-22,12.65,24.63,80.67,0,1,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0
2018-03-23,16.34,35.2,88.67,0,1,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0
2018-03-24,22.52,44.55,122.67,0,2,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0
2018-03-25,35.33,52.59,117.0,0,2,0.8660254037844386,0.5000000000000001,-0.9749279121818235,-0.2225209339563146,0
2018-03-26,22.2,38.89,104.33,0,2,0.8660254037844386,0.5000000000000001,-0.7818314824680297,0.6234898018587336,0
2018-03-27,14.2,24.01,100.0,0,2,0.8660254037844386,0.5000000000000001,0.0,1.0,0
2018-03-28,6.97,14.02,101.33,0,2,0.8660254037844386,0.5000000000000001,0.7818314824680297,0.6234898018587336,0
2018-03-29,9.92,22.59,111.33,0,2,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0
2018-03-30,12.03,24.3,103.0,0,2,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0
2018-03-31,9.39,20.03,87.67,0,1,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0
2018-04-01,11.74,19.5,92.0,0,2,1.0,6.123233995736766e-17,-0.9749279121818235,-0.2225209339563146,0
2018-04-02,14.32,25.0,77.0,0,1,1.0,6.123233995736766e-17,-0.7818314824680297,0.6234898018587336,0
2018-04-03,12.57,29.17,87.67,0,1,1.0,6.123233995736766e-17,0.0,1.0,0
2018-04-04,9.18,19.92,95.33,0,2,1.0,6.123233995736766e-17,0.7818314824680297,0.6234898018587336,0
2018-04-05,10.62,21.59,91.67,0,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0
2018-04-06,13.43,31.17,97.67,0,2,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0
2018-04-07,12.87,29.37,73.0,0,1,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0
2018-04-08,15.72,36.77,59.67,0,1,1.0,6.123233995736766e-17,-0.9749279121818235,-0.2225209339563146,0
2018-04-09,16.74,29.15,102.67,0,2,1.0,6.123233995736766e-17,-0.7818314824680297,0.6234898018587336,0
2018-04-10,14.44,26.31,66.67,0,1,1.0,6.123233995736766e-17,0.0,1.0,0
2018-04-11,13.32,30.81,99.0,0,2,1.0,6.123233995736766e-17,0.7818314824680297,0.6234898018587336,0
2018-04-12,25.23,35.22,76.33,0,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0
2018-04-13,18.32,33.76,109.0,0,2,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0
2018-04-14,17.31,33.64,93.33,0,2,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0
2018-04-15,13.35,26.07,66.0,0,1,1.0,6.123233995736766e-17,-0.9749279121818235,-0.2225209339563146,0
2018-04-16,11.98,31.58,103.67,0,2,1.0,6.123233995736766e-17,-0.7818314824680297,0.6234898018587336,0
2018-04-17,19.39,45.33,121.33,0,2,1.0,6.123233995736766e-17,0.0,1.0,0
2018-04-18,17.77,46.72,119.0,0,2,1.0,6.123233995736766e-17,0.7818314824680297,0.6234898018587336,0
2018-04-19,22.64,55.31,119.33,0,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0
2018-04-20,21.3,48.33,124.0,0,2,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0
2018-04-21,21.3,43.38,98.67,0,2,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0
2018-04-22,19.5,43.51,106.67,0,2,1.0,6.123233995736766e-17,-0.9749279121818235,-0.2225209339563146,0
2018-04-23,9.8,22.32,43.0,0,1,1.0,6.123233995736766e-17,-0.7818314824680297,0.6234898018587336,0
2018-04-24,10.79,26.61,81.67,0,1,1.0,6.123233995736766e-17,0.0,1.0,0
2018-04-25,7.73,20.07,47.33,0,1,1.0,6.123233995736766e-17,0.7818314824680297,0.6234898018587336,0
2018-04-26,6.95,19.74,96.33,0,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0
